emoji,english,translation,phonetic,category
1f600,face,chehraa,CHEH-rah,emotions
1f60a,happy,khush,KHUSH,emotions
1f622,sad,udaas,oo-DAAS,emotions
1f620,angry,gussaa,GUS-sah,emotions
1f628,afraid,daraa huaa,DAH-rah HOO-ah,emotions
1f634,tired,thakaa huaa,THAH-kah HOO-ah,emotions
1f632,surprised,hairaan,HAI-raan,emotions
1f912,sick,beemaar,BEE-maar,emotions
1f602,laugh,hansee,HAHN-see,emotions
1f62d,cry,ronaa,RO-nah,emotions
1f60d,love,pyaar,PYAAR,emotions
1f5e3,speak,bolnaa,BOL-nah,actions
1f4ad,think,sochnaa,SOCH-nah,actions
1f3c3,running,daudnaa,DAUR-nah,actions
1f3ca,swimming,tairnaa,TAI-rah-nah,actions
1f6b6,walking,chalnaa,CHAHL-nah,actions
1f483,dancing,naachnaa,NAACH-nah,actions
270d,writing,likhnaa,LIKH-nah,actions
1f3a3,fishing,machhalee pakadnaa,MAHCH-lee pah-KAHR-nah,entertainment
26f7,skiing,skeeing,SKEE-ing,entertainment
1f3c4,surfing,sarfing,SAHR-fing,entertainment
1f305,morning,subah,SOO-bah,time
1f307,evening,shaam,SHAAM,time
1f303,night,raat,RAAT,time
1f382,birthday,janmadin,JAHN-mah-din,entertainment
1f389,party,paartee,PAAR-tee,entertainment
1f381,gift,tohfaa,TOH-fah,entertainment
1f3b5,music,sangeet,sahn-GEET,entertainment
1f3b6,song,gaanaa,GAA-nah,entertainment
1f3b9,piano,piyaano,pee-YAA-no,entertainment
1f3b8,guitar,gitaar,gee-TAAR,entertainment
1f941,drum,dhol,DHOL,entertainment
1f3ac,movie,film,FILM,entertainment
1f3a8,art,kalaa,kah-LAA,entertainment
1f3b2,game,khel,KHEL,entertainment
1f514,bell,ghantee,GHAHN-tee,objects
1f3e8,hotel,hotal,HO-tahl,places
1f3d9,city,shahar,SHAH-hahr,places
1f3d4,mountain,pahaad,pah-HAAR,places
1f3d6,beach,samudra tat,sah-MU-drah TAHT,places
1f6e3,road,sadak,SAH-rahk,places
1f3e6,bank,baink,BANK,places
1f3f0,castle,qilaa,KI-lah,places
1f3dd,island,dveep,DVEEP,places
1f3de,park,baag,BAAG,places
1f695,taxi,taiksee,TAIK-see,transport
1f681,helicopter,helikaaptar,HEL-ee-KAAP-tahr,transport
1f680,rocket,raaket,RAA-ket,transport
1f691,ambulance,embulens,EM-boo-lehns,transport
1f3cd,motorcycle,motarsaaikil,MO-tahr-SAA-ee-kil,transport
1f6a2,ship,jahaaz,jah-HAAZ,transport
1f4fb,radio,rediyo,RE-dee-yo,objects
1f4f0,newspaper,akhbaar,AHKH-baar,objects
1f4dd,note,not,NOT,objects
1f58a,pen,qalam,KAH-lahm,objects
270f,pencil,pensil,PEN-sil,objects
2702,scissors,kainchee,KAIN-chee,objects
1f4c5,calendar,kailendar,KAI-len-dahr,objects
1f512,lock,taalaa,TAA-lah,objects
1f528,hammer,hathaudaa,hah-THAU-rah,tools
1f52a,knife,chaakoo,CHAA-koo,tools
1f374,fork,kaantaa,KAAN-tah,tools
1f944,spoon,chammach,CHAHM-mahch,tools
1f37d,plate,thaalee,THAA-lee,tools
1f5fa,map,nakshaa,NAHK-shah,objects
1f4e6,box,dibbaa,DIB-bah,objects
1f4e8,mail,daak,DAAK,objects
1f6c1,bath,snaan,SNAAN,home
1f9fc,soap,saabun,SAA-boon,objects
1fa99,coin,sikkaa,SIK-kah,objects
1f570,clock,ghadee,GHAH-ree,objects
231a,watch,ghadee,GHAH-ree,objects
1f3f3,flag,jhandaa,JHAHN-dah,objects
2694,sword,talvaar,tahl-VAAR,tools
1f52b,gun,bandooq,bahn-DOOK,tools
