emoji,english,translation,phonetic,category
1f600,face,rosto,HOHS-too,emotions
1f60a,happy,feliz,feh-LEES,emotions
1f622,sad,triste,TREES-chee,emotions
1f620,angry,bravo,BRAH-voo,emotions
1f628,afraid,com medo,kohm-MEH-doo,emotions
1f634,tired,cansado,kahn-SAH-doo,emotions
1f632,surprised,surpreso,soor-PREH-zoo,emotions
1f912,sick,doente,doo-EHN-chee,emotions
1f602,laugh,rir,HEER,emotions
1f62d,cry,chorar,shoh-RAHR,emotions
1f60d,love,amor,ah-MOHR,emotions
1f5e3,speak,falar,fah-LAHR,actions
1f4ad,think,pensar,pehn-SAHR,actions
1f3c3,running,correndo,koh-HEHN-doo,actions
1f3ca,swimming,nadando,nah-DAHN-doo,actions
1f6b6,walking,andando,ahn-DAHN-doo,actions
1f483,dancing,dançando,dahn-SAHN-doo,actions
270d,writing,escrevendo,eh-skreh-VEHN-doo,actions
1f3a3,fishing,pescando,peh-SKAHN-doo,entertainment
26f7,skiing,esquiando,eh-skee-AHN-doo,entertainment
1f3c4,surfing,surfando,soor-FAHN-doo,entertainment
1f305,morning,manhã,mahn-YAHW,time
1f307,evening,tarde,TAHR-jee,time
1f303,night,noite,NOY-chee,time
1f382,birthday,aniversário,ah-nee-vehr-SAH-ree-oo,entertainment
1f389,party,festa,FEH-stah,entertainment
1f381,gift,presente,preh-ZEHN-chee,entertainment
1f3b5,music,música,MOO-zee-kah,entertainment
1f3b6,song,canção,kahn-SAHW,entertainment
1f3b9,piano,piano,pee-AH-noo,entertainment
1f3b8,guitar,violão,vee-oh-LAHW,entertainment
1f941,drum,tambor,tahm-BOHR,entertainment
1f3ac,movie,filme,FEEW-mee,entertainment
1f3a8,art,arte,AHR-chee,entertainment
1f3b2,game,jogo,ZHOH-goo,entertainment
1f514,bell,sino,SEE-noo,objects
1f3e8,hotel,hotel,oh-TEHW,places
1f3d9,city,cidade,see-DAH-jee,places
1f3d4,mountain,montanha,mohn-TAHN-yah,places
1f3d6,beach,praia,PRAH-yah,places
1f6e3,road,estrada,eh-STRAH-dah,places
1f3e6,bank,banco,BAHN-koo,places
1f3f0,castle,castelo,kah-STEH-loo,places
1f3dd,island,ilha,EE-lyah,places
1f3de,park,parque,PAHR-kee,places
1f695,taxi,táxi,TAH-ksee,transport
1f681,helicopter,helicóptero,eh-lee-KOH-pteh-roo,transport
1f680,rocket,foguete,foh-GEH-chee,transport
1f691,ambulance,ambulância,ahm-boo-LAHN-see-ah,transport
1f3cd,motorcycle,moto,MOH-too,transport
1f6a2,ship,navio,nah-VEE-oo,transport
1f4fb,radio,rádio,HAH-jee-oo,objects
1f4f0,newspaper,jornal,zhohr-NAHW,objects
1f4dd,note,nota,NOH-tah,objects
1f58a,pen,caneta,kah-NEH-tah,objects
270f,pencil,lápis,LAH-pees,objects
2702,scissors,tesoura,teh-ZOH-rah,objects
1f4c5,calendar,calendário,kah-lehn-DAH-ree-oo,objects
1f512,lock,cadeado,kah-dee-AH-doo,objects
1f528,hammer,martelo,mahr-TEH-loo,tools
1f52a,knife,faca,FAH-kah,tools
1f374,fork,garfo,GAHR-foo,tools
1f944,spoon,colher,koo-LYEHR,tools
1f37d,plate,prato,PRAH-too,tools
1f5fa,map,mapa,MAH-pah,objects
1f4e6,box,caixa,KAY-shah,objects
1f4e8,mail,correio,koh-HAY-oo,objects
1f6c1,bath,banho,BAHN-yoo,home
1f9fc,soap,sabão,sah-BAHW,objects
1fa99,coin,moeda,moo-EH-dah,objects
1f570,clock,relógio,heh-LOH-zhee-oo,objects
231a,watch,relógio,heh-LOH-zhee-oo,objects
1f3f3,flag,bandeira,bahn-DAY-rah,objects
2694,sword,espada,eh-SPAH-dah,tools
1f52b,gun,arma,AHR-mah,tools
