emoji,english,translation,phonetic,category
1f4a7,water,agua,AH-gwah,nature
1f3e0,house,casa,KAH-sah,home
1f468,man,hombre,OHM-breh,people
1f469,woman,mujer,moo-HEHR,people
1f466,boy,niño,NEEN-yoh,people
270b,hand,mano,MAH-noh,body
1f441,eye,ojo,OH-hoh,body
2600,sun,sol,sohl,weather
1f415,dog,perro,PEH-rroh,animals
1f408,cat,gato,GAH-toh,animals
1f4d6,book,libro,LEE-broh,objects
1f30d,earth,tierra,tee-EH-rrah,nature
1f525,fire,fuego,FWEH-goh,nature
2764,heart,corazón,koh-rah-SOHN,body
1f338,flower,flor,flohr,nature
1f319,moon,luna,LOO-nah,weather
2b50,star,estrella,ehs-TREH-yah,weather
1f35e,bread,pan,pahn,food
1f95b,milk,leche,LEH-cheh,food
1f95a,egg,huevo,WEH-boh,food
1f969,meat,carne,KAR-neh,food
1f41f,fish,pescado,pehs-KAH-doh,food
1f34e,fruit,fruta,FROO-tah,food
1f34e,apple,manzana,mahn-SAH-nah,food
1f333,tree,árbol,AR-bohl,nature
1f697,car,carro,KAH-rroh,transport
2708,airplane,avión,ah-bee-OHN,transport
26f5,boat,barco,BAR-koh,transport
1f6b2,bicycle,bicicleta,bee-see-KLEH-tah,transport
1f434,horse,caballo,kah-BAH-yoh,animals
1f426,bird,pájaro,PAH-hah-roh,animals
1f41f,fish,pez,pehs,animals
1f404,cow,vaca,BAH-kah,animals
1f416,pig,cerdo,SEHR-doh,animals
1f414,chicken,pollo,POH-yoh,animals
1f42d,mouse,ratón,rah-TOHN,animals
1f98b,butterfly,mariposa,mah-ree-POH-sah,animals
1f41d,bee,abeja,ah-BEH-hah,animals
1f41c,ant,hormiga,or-MEE-gah,animals
1f40d,snake,serpiente,sehr-pee-EHN-teh,animals
1f422,turtle,tortuga,tor-TOO-gah,animals
1f438,frog,rana,RAH-nah,animals
1f981,lion,león,leh-OHN,animals
1f43b,bear,oso,OH-soh,animals
1f418,elephant,elefante,eh-leh-FAHN-teh,animals
1f412,monkey,mono,MOH-noh,animals
1f407,rabbit,conejo,koh-NEH-hoh,animals
1f43a,wolf,lobo,LOH-boh,animals
1f40b,whale,ballena,bah-YEH-nah,animals
1f5e3,head,cabeza,kah-BEH-sah,body
1f444,mouth,boca,BOH-kah,body
1f443,nose,nariz,nah-REES,body
1f442,ear,oreja,oh-REH-hah,body
1f9b7,tooth,diente,dee-EHN-teh,body
1f9b6,foot,pie,pee-EH,body
1f9b5,leg,pierna,pee-EHR-nah,body
1f4aa,arm,brazo,BRAH-soh,body
1f446,finger,dedo,DEH-doh,body
1f9e0,brain,cerebro,seh-REH-broh,body
1f35a,rice,arroz,ah-ROHS,food
1f9c0,cheese,queso,KEH-soh,food
1f9c2,salt,sal,sahl,food
1f34a,orange,naranja,nah-RAHN-hah,food
1f34b,lemon,limón,lee-MOHN,food
1f34c,banana,plátano,PLAH-tah-noh,food
1f347,grape,uva,OO-bah,food
1f353,strawberry,fresa,FREH-sah,food
1f349,watermelon,sandía,sahn-DEE-ah,food
1f955,carrot,zanahoria,sah-nah-OH-ree-ah,food
1f33d,corn,maíz,mah-EES,food
1f345,tomato,tomate,toh-MAH-teh,food
1f954,potato,papa,PAH-pah,food
1f9c5,onion,cebolla,seh-BOH-yah,food
1f9c4,garlic,ajo,AH-hoh,food
1f36b,chocolate,chocolate,choh-koh-LAH-teh,food
1f368,ice cream,helado,eh-LAH-doh,food
1f382,cake,pastel,pahs-TEHL,food
1f36a,cookie,galleta,gah-YEH-tah,food
1f355,pizza,pizza,PEE-tsah,food
2615,coffee,café,kah-FEH,food
1f375,tea,té,teh,food
1f377,wine,vino,BEE-noh,food
1f37a,beer,cerveza,sehr-BEH-sah,food
1f372,soup,sopa,SOH-pah,food
1f32e,taco,taco,TAH-koh,food
1f354,hamburger,hamburguesa,ahm-boor-GEH-sah,food
1f37f,popcorn,palomitas,pah-loh-MEE-tahs,food
1f36c,candy,caramelo,kah-rah-MEH-loh,food
1f6aa,door,puerta,PWEHR-tah,home
1fa9f,window,ventana,behn-TAH-nah,home
1f6cf,bed,cama,KAH-mah,home
1fa91,chair,silla,SEE-yah,home
1fa91,table,mesa,MEH-sah,home
1f511,key,llave,YAH-beh,objects
23f0,clock,reloj,reh-LOH,objects
1f4a1,lamp,lámpara,LAHM-pah-rah,objects
1fa9e,mirror,espejo,ehs-PEH-hoh,objects
1f6c1,bathroom,baño,BAH-nyoh,home
1f373,kitchen,cocina,koh-SEE-nah,home
1f4bb,computer,computadora,kohm-poo-tah-DOH-rah,objects
