emoji,english,translation,phonetic,category
1f410,goat,ماعز,MAA-IZ,animals
1f427,penguin,بطريق,BAT-REEQ,animals
1f988,shark,قرش,QIRSH,animals
1f992,giraffe,زرافة,ZA-RAA-FAH,animals
1f993,zebra,حمار وحشي,HI-MAAR WAH-SHEE,animals
1f998,kangaroo,كنغر,KAN-GHAR,animals
1f40c,snail,حلزون,HA-LA-ZOON,animals
1f419,octopus,أخطبوط,UKH-TU-BOOT,animals
1f980,crab,سلطعون,SA-LAT-OON,animals
1f40a,crocodile,تمساح,TIM-SAAH,animals
1f98d,gorilla,غوريلا,GHO-RIL-LAA,animals
1f984,unicorn,وحيد القرن,WA-HEED AL-QARN,animals
1f577,spider,عنكبوت,AN-KA-BOOT,animals
1f46e,police,شرطي,SHUR-TEE,people
1f934,prince,أمير,A-MEER,people
1f478,princess,أميرة,A-MEE-RAH,people
1f3c0,basketball,كرة السلة,KU-RAT AS-SAL-LAH,entertainment
1f3be,tennis,تنس,TA-NIS,entertainment
26be,baseball,بيسبول,BAYS-BOOL,entertainment
1f94a,boxing,ملاكمة,MU-LAA-KA-MAH,entertainment
1f354,hamburger,همبرغر,HAM-BUR-GHAR,food
1f368,ice cream,آيس كريم,AAYS KREEM,food
1f36a,cookie,بسكويت,BAS-KA-WEET,food
1f373,cooking,طبخ,TABKH,food
1f969,steak,ستيك,STEEK,food
1f9c4,garlic,ثوم,THOOM,vegetables
1f965,coconut,جوز الهند,JAWZ AL-HIND,fruit
1f336,pepper,فلفل,FUL-FUL,vegetables
1f964,straw,ماصة,MAAS-SAH,drink
1f35a,bowl,وعاء,WI-AA,food
1fa9e,mirror,مرآة,MIR-AAH,objects
1f451,crown,تاج,TAAJ,clothing
1f6d2,cart,عربة,A-RA-BAH,transport
26a1,lightning,برق,BARQ,nature
1f9e3,scarf,وشاح,WI-SHAAH,clothing
1f9e4,gloves,قفازات,QUF-FAA-ZAAT,clothing
1f9b4,bone,عظم,ADHM,body
1f388,balloon,بالون,BAA-LOON,objects
1f386,fireworks,ألعاب نارية,AL-AAB NAA-REE-YAH,tools
1f50b,battery,بطارية,BAT-TAA-REE-YAH,objects
1f9f9,broom,مكنسة,MIK-NA-SAH,objects
1f54a,dove,حمامة,HA-MAA-MAH,animals
1f3a4,microphone,ميكروفون,MEEK-RO-FOON,objects
23f0,alarm,منبه,MU-NAB-BIH,objects
1f333,forest,غابة,GHAA-BAH,places
1f3dc,desert,صحراء,SAH-RAA,places
1f309,bridge,جسر,JISR,places
1f338,blossom,زهر,ZAHR,nature
1f33b,sunflower,عباد الشمس,AB-BAAD ASH-SHAMS,nature
1f343,autumn,خريف,KHA-REEF,nature
1f335,cactus,صبار,SUB-BAAR,nature
26d3,chain,سلسلة,SIL-SI-LAH,tools
1fa93,axe,فأس,FAAS,tools
1f9fa,basket,سلة,SAL-LAH,objects
1f6de,wheel,عجلة,A-JA-LAH,objects
1fab6,feather,ريشة,REE-SHAH,nature
1faa1,needle,إبرة,IB-RAH,objects
1f9f5,thread,خيط,KHAYT,objects
1f9f2,magnet,مغناطيس,MAGH-NAA-TEES,objects
1f387,sparkler,شرارة,SHA-RAA-RAH,tools
1f3aa,circus,سيرك,SEERK,entertainment
1f3f9,arrow,سهم,SAHM,tools
1f550,hour,ساعة,SAA-AH,time
1f7e5,red,أحمر,AH-MAR,colors
1f7e6,blue,أزرق,AZ-RAQ,colors
1f7e9,green,أخضر,AKH-DAR,colors
1f7e8,yellow,أصفر,AS-FAR,colors
1f7ea,purple,بنفسجي,BA-NAF-SA-JEE,colors
2b1b,black,أسود,AS-WAD,colors
2b1c,white,أبيض,AB-YAD,colors
1f9f1,wall,جدار,JI-DAAR,home
1f4de,telephone,هاتف,HAA-TIF,objects
1f4b3,card,بطاقة,BI-TAA-QAH,objects
1f4d3,notebook,دفتر,DAF-TAR,objects
1f3c6,trophy,كأس,KAAS,objects
