emoji,english,translation,phonetic,category
1f600,face,liǎn,LYENN,emotions
1f60a,happy,kāixīn,KYE-SHEEN,emotions
1f622,sad,nánguò,NAHN-GWOH,emotions
1f620,angry,shēngqì,SHUHNG-CHEE,emotions
1f628,afraid,hàipà,HYE-PAH,emotions
1f634,tired,lèi,LAY,emotions
1f632,surprised,jīngyà,JING-YAH,emotions
1f912,sick,shēngbìng,SHUHNG-BING,emotions
1f602,laugh,xiào,SHYAO,emotions
1f62d,cry,kū,KOO,emotions
1f60d,love,ài,EYE,emotions
1f5e3,speak,shuōhuà,SHWOH-HWAH,actions
1f4ad,think,sīkǎo,SUH-KAO,actions
1f3c3,running,pǎobù,PAO-BOO,actions
1f3ca,swimming,yóuyǒng,YOH-YOHNG,actions
1f6b6,walking,zǒulù,ZOH-LOO,actions
1f483,dancing,tiàowǔ,TYAO-WOO,actions
270d,writing,xiězì,SHYEH-ZUH,actions
1f3a3,fishing,diàoyú,DYAO-YOO,entertainment
26f7,skiing,huáxuě,HWAH-SHWEH,entertainment
1f3c4,surfing,chōnglàng,CHOHNG-LAHNG,entertainment
1f305,morning,zǎochén,ZAO-CHUHN,time
1f307,evening,bàngwǎn,BAHNG-WAHN,time
1f303,night,yèwǎn,YEH-WAHN,time
1f382,birthday,shēngrì,SHUHNG-RUH,entertainment
1f389,party,pàiduì,PYE-DWAY,entertainment
1f381,gift,lǐwù,LEE-WOO,entertainment
1f3b5,music,yīnyuè,YEEN-YWEH,entertainment
1f3b6,song,gēqǔ,GUH-CHOO,entertainment
1f3b9,piano,gāngqín,GAHNG-CHEEN,entertainment
1f3b8,guitar,jítā,JEE-TAH,entertainment
1f941,drum,gǔ,GOO,entertainment
1f3ac,movie,diànyǐng,DYEN-YING,entertainment
1f3a8,art,yìshù,YEE-SHOO,entertainment
1f3b2,game,yóuxì,YOH-SHEE,entertainment
1f514,bell,língdang,LING-DAHNG,objects
1f3e8,hotel,jiǔdiàn,JYOH-DYEN,places
1f3d9,city,chéngshì,CHUHNG-SHUH,places
1f3d4,mountain,shān,SHAHN,places
1f3d6,beach,hǎitān,HYE-TAHN,places
1f6e3,road,lù,LOO,places
1f3e6,bank,yínháng,YEEN-HAHNG,places
1f3f0,castle,chéngbǎo,CHUHNG-BAO,places
1f3dd,island,dǎoyǔ,DAO-YOO,places
1f3de,park,gōngyuán,GOHNG-YWENN,places
1f695,taxi,chūzūchē,CHOO-ZOO-CHUH,transport
1f681,helicopter,zhíshēngjī,JUH-SHUHNG-JEE,transport
1f680,rocket,huǒjiàn,HWOH-JYEN,transport
1f691,ambulance,jiùhùchē,JYOH-HOO-CHUH,transport
1f3cd,motorcycle,mótuōchē,MWOH-TWOH-CHUH,transport
1f6a2,ship,chuán,CHWAHN,transport
1f4fb,radio,shōuyīnjī,SHOH-YEEN-JEE,objects
1f4f0,newspaper,bàozhǐ,BAO-JUH,objects
1f4dd,note,bǐjì,BEE-JEE,objects
1f58a,pen,bǐ,BEE,objects
270f,pencil,qiānbǐ,CHYEN-BEE,objects
2702,scissors,jiǎndāo,JYEN-DAO,objects
1f4c5,calendar,rìlì,RUH-LEE,objects
1f512,lock,suǒ,SWOH,objects
1f528,hammer,chuízi,CHWAY-ZUH,tools
1f52a,knife,dāo,DAO,tools
1f374,fork,chāzi,CHAH-ZUH,tools
1f944,spoon,sháozi,SHAO-ZUH,tools
1f37d,plate,pánzi,PAHN-ZUH,tools
1f5fa,map,dìtú,DEE-TOO,objects
1f4e6,box,xiāngzi,SHYAHNG-ZUH,objects
1f4e8,mail,yóujiàn,YOH-JYEN,objects
1f6c1,bath,yùgāng,YOO-GAHNG,home
1f9fc,soap,féizào,FAY-ZAO,objects
1fa99,coin,yìngbì,YING-BEE,objects
1f570,clock,shízhōng,SHUH-JOHNG,objects
231a,watch,shǒubiǎo,SHOH-BYAO,objects
1f3f3,flag,qízhì,CHEE-JUH,objects
2694,sword,jiàn,JYEN,tools
1f52b,gun,qiāng,CHYAHNG,tools
