emoji,english,translation,phonetic,category
1f600,face,얼굴,UHL-GOOL,emotions
1f60a,happy,행복한,HEHNG-BOHK-HAHN,emotions
1f622,sad,슬픈,SEUL-PEUN,emotions
1f620,angry,화난,HWAH-NAHN,emotions
1f628,afraid,두려운,DOO-RYUH-OON,emotions
1f634,tired,피곤한,PEE-GOHN-HAHN,emotions
1f632,surprised,놀란,NOHL-LAHN,emotions
1f912,sick,아픈,AH-PEUN,emotions
1f602,laugh,웃음,OO-SEUM,emotions
1f62d,cry,울음,OO-REUM,emotions
1f60d,love,사랑,SAH-RAHNG,emotions
1f5e3,speak,말하다,MAHL-HAH-DAH,actions
1f4ad,think,생각하다,SEHNG-GAHK-HAH-DAH,actions
1f3c3,running,달리기,DAHL-REE-GEE,actions
1f3ca,swimming,수영,SOO-YUHNG,actions
1f6b6,walking,걷기,GUHT-GEE,actions
1f483,dancing,춤추기,CHOOM-CHOO-GEE,actions
270d,writing,쓰기,SSEU-GEE,actions
1f3a3,fishing,낚시,NAHK-SHEE,entertainment
26f7,skiing,스키,SEU-KEE,entertainment
1f3c4,surfing,서핑,SUH-PEENG,entertainment
1f305,morning,아침,AH-CHEEM,time
1f307,evening,저녁,JUH-NYUHK,time
1f303,night,밤,BAHM,time
1f382,birthday,생일,SEHNG-EEL,entertainment
1f389,party,파티,PAH-TEE,entertainment
1f381,gift,선물,SUHN-MOOL,entertainment
1f3b5,music,음악,EUM-AHK,entertainment
1f3b6,song,노래,NOH-REH,entertainment
1f3b9,piano,피아노,PEE-AH-NOH,entertainment
1f3b8,guitar,기타,GEE-TAH,entertainment
1f941,drum,북,BOOK,entertainment
1f3ac,movie,영화,YUHNG-HWAH,entertainment
1f3a8,art,예술,YEH-SOOL,entertainment
1f3b2,game,게임,GEH-EEM,entertainment
1f514,bell,종,JOHNG,objects
1f3e8,hotel,호텔,HOH-TEHL,places
1f3d9,city,도시,DOH-SHEE,places
1f3d4,mountain,산,SAHN,places
1f3d6,beach,해변,HEH-BYUHN,places
1f6e3,road,길,GEEL,places
1f3e6,bank,은행,EUN-HEHNG,places
1f3f0,castle,성,SUHNG,places
1f3dd,island,섬,SUHM,places
1f3de,park,공원,GOHNG-WUHN,places
1f695,taxi,택시,TEHK-SHEE,transport
1f681,helicopter,헬리콥터,HEHL-LEE-KOHP-TUH,transport
1f680,rocket,로켓,ROH-KEHT,transport
1f691,ambulance,구급차,GOO-GEUP-CHAH,transport
1f3cd,motorcycle,오토바이,OH-TOH-BAH-EE,transport
1f6a2,ship,배,BEH,transport
1f4fb,radio,라디오,RAH-DEE-OH,objects
1f4f0,newspaper,신문,SHEEN-MOON,objects
1f4dd,note,메모,MEH-MOH,objects
1f58a,pen,펜,PEHN,objects
270f,pencil,연필,YUHN-PEEL,objects
2702,scissors,가위,GAH-WEE,objects
1f4c5,calendar,달력,DAHL-LYUHK,objects
1f512,lock,자물쇠,JAH-MOOL-SHWEH,objects
1f528,hammer,망치,MAHNG-CHEE,tools
1f52a,knife,칼,KAHL,tools
1f374,fork,포크,POH-KEU,tools
1f944,spoon,숟가락,SOOT-GAH-RAHK,tools
1f37d,plate,접시,JUHP-SHEE,tools
1f5fa,map,지도,JEE-DOH,objects
1f4e6,box,상자,SAHNG-JAH,objects
1f4e8,mail,우편,OO-PYUHN,objects
1f6c1,bath,목욕,MOH-GYOHK,home
1f9fc,soap,비누,BEE-NOO,objects
1fa99,coin,동전,DOHNG-JUHN,objects
1f570,clock,시계,SHEE-GYEH,objects
231a,watch,손목시계,SOHN-MOHK-SHEE-GYEH,objects
1f3f3,flag,깃발,GEET-BAHL,objects
2694,sword,검,GUHM,tools
1f52b,gun,총,CHOHNG,tools
