emoji,english,translation,phonetic,category
1f600,face,gezicht,khuh-ZIKHT,emotions
1f60a,happy,blij,blay,emotions
1f622,sad,verdrietig,fuhr-DREE-tikh,emotions
1f620,angry,boos,bohs,emotions
1f628,afraid,bang,bahng,emotions
1f634,tired,moe,moo,emotions
1f632,surprised,verrast,fuhr-RAHST,emotions
1f912,sick,ziek,zeek,emotions
1f602,laugh,lachen,LAH-khuhn,emotions
1f62d,cry,huilen,HOW-luhn,emotions
1f60d,love,liefde,LEEF-duh,emotions
1f5e3,speak,spreken,SPRAY-kuhn,actions
1f4ad,think,denken,DEHN-kuhn,actions
1f3c3,running,rennen,REHN-uhn,actions
1f3ca,swimming,zwemmen,ZWEHM-uhn,actions
1f6b6,walking,lopen,LOH-puhn,actions
1f483,dancing,dansen,DAHN-suhn,actions
270d,writing,schrijven,SKHRAY-fuhn,actions
1f3a3,fishing,vissen,FIS-uhn,entertainment
26f7,skiing,skieen,SKEE-uhn,entertainment
1f3c4,surfing,surfen,SUHR-fuhn,entertainment
1f305,morning,ochtend,OKH-tehnt,time
1f307,evening,avond,AH-fohnt,time
1f303,night,nacht,nahkht,time
1f382,birthday,verjaardag,fuhr-YAHR-dahkh,entertainment
1f389,party,feest,fayst,entertainment
1f381,gift,cadeau,kah-DOH,entertainment
1f3b5,music,muziek,moo-ZEEK,entertainment
1f3b6,song,lied,leet,entertainment
1f3b9,piano,piano,pee-AH-noh,entertainment
1f3b8,guitar,gitaar,khee-TAHR,entertainment
1f941,drum,trommel,TROHM-uhl,entertainment
1f3ac,movie,film,film,entertainment
1f3a8,art,kunst,kuhnst,entertainment
1f3b2,game,spel,spehl,entertainment
1f514,bell,bel,behl,objects
1f3e8,hotel,hotel,hoh-TEHL,places
1f3d9,city,stad,staht,places
1f3d4,mountain,berg,behrkh,places
1f3d6,beach,strand,strahnt,places
1f6e3,road,weg,wehkh,places
1f3e6,bank,bank,bahnk,places
1f3f0,castle,kasteel,kahs-TAYL,places
1f3dd,island,eiland,AY-lahnt,places
1f3de,park,park,pahrk,places
1f695,taxi,taxi,TAHK-see,transport
1f681,helicopter,helikopter,HAY-lee-kohp-tuhr,transport
1f680,rocket,raket,rah-KEHT,transport
1f691,ambulance,ambulance,ahm-boo-LAHN-suh,transport
1f3cd,motorcycle,motorfiets,MOH-tohr-feets,transport
1f6a2,ship,schip,skhip,transport
1f4fb,radio,radio,RAH-dee-oh,objects
1f4f0,newspaper,krant,krahnt,objects
1f4dd,note,notitie,noh-TEE-tsee,objects
1f58a,pen,pen,pehn,objects
270f,pencil,potlood,POHT-loht,objects
2702,scissors,schaar,skhar,objects
1f4c5,calendar,kalender,kah-LEHN-duhr,objects
1f512,lock,slot,sloht,objects
1f528,hammer,hamer,HAH-muhr,tools
1f52a,knife,mes,mehs,tools
1f374,fork,vork,fohrk,tools
1f944,spoon,lepel,LAY-puhl,tools
1f37d,plate,bord,bohrt,tools
1f5fa,map,kaart,kahrt,objects
1f4e6,box,doos,dohs,objects
1f4e8,mail,post,pohst,objects
1f6c1,bath,bad,baht,home
1f9fc,soap,zeep,zayp,objects
1fa99,coin,munt,muhnt,objects
1f570,clock,klok,klohk,objects
231a,watch,horloge,hor-LOH-zhuh,objects
1f3f3,flag,vlag,flahkh,objects
2694,sword,zwaard,zwahrt,tools
1f52b,gun,geweer,khuh-WAYR,tools
