emoji,english,translation,phonetic,category
1f600,face,visage,vee-ZAHZH,emotions
1f60a,happy,heureux,uh-RUH,emotions
1f622,sad,triste,TREEST,emotions
1f620,angry,en colère,ahn-koh-LEHR,emotions
1f628,afraid,effrayé,eh-freh-YEH,emotions
1f634,tired,fatigué,fah-tee-GEH,emotions
1f632,surprised,surpris,soor-PREE,emotions
1f912,sick,malade,mah-LAHD,emotions
1f602,laugh,rire,REER,emotions
1f62d,cry,pleurer,pluh-REH,emotions
1f60d,love,amour,ah-MOOR,emotions
1f5e3,speak,parler,par-LEH,actions
1f4ad,think,penser,pahn-SEH,actions
1f3c3,running,courir,koo-REER,actions
1f3ca,swimming,nager,nah-ZHEH,actions
1f6b6,walking,marcher,mar-SHEH,actions
1f483,dancing,danser,dahn-SEH,actions
270d,writing,écrire,eh-KREER,actions
1f3a3,fishing,pêche,PEHSH,entertainment
1f3c4,surfing,surf,SUHRF,entertainment
26f7,skiing,ski,SKEE,entertainment
1f305,morning,matin,mah-TAHN,time
1f307,evening,soir,SWAHR,time
1f303,night,nuit,NWEE,time
1f382,birthday,anniversaire,ah-nee-vehr-SEHR,entertainment
1f389,party,fête,FEHT,entertainment
1f381,gift,cadeau,kah-DOH,entertainment
1f3b5,music,musique,moo-ZEEK,entertainment
1f3b6,song,chanson,shahn-SOHN,entertainment
1f3b9,piano,piano,pee-ah-NOH,entertainment
1f3b8,guitar,guitare,gee-TAR,entertainment
1f941,drum,tambour,tahm-BOOR,entertainment
1f3ac,movie,film,FEELM,entertainment
1f3a8,art,art,AR,entertainment
1f3b2,game,jeu,ZHUH,entertainment
1f514,bell,cloche,KLUHSH,objects
1f3e8,hotel,hôtel,oh-TEHL,places
1f3d9,city,ville,VEEL,places
1f3d4,mountain,montagne,mohn-TAH-nyuh,places
1f3d6,beach,plage,PLAHZH,places
1f6e3,road,route,ROOT,places
1f3e6,bank,banque,BAHNK,places
1f3f0,castle,château,shah-TOH,places
1f3dd,island,île,EEL,places
1f3de,park,parc,PARK,places
1f695,taxi,taxi,tahk-SEE,transport
1f681,helicopter,hélicoptère,eh-lee-kohp-TEHR,transport
1f680,rocket,fusée,foo-ZEH,transport
1f691,ambulance,ambulance,ahm-boo-LAHNSS,transport
1f3cd,motorcycle,moto,moh-TOH,transport
1f6a2,ship,navire,nah-VEER,transport
1f4fb,radio,radio,rah-dee-OH,objects
1f4f0,newspaper,journal,zhoor-NAHL,objects
1f4dd,note,note,NUHT,objects
1f58a,pen,stylo,stee-LOH,objects
270f,pencil,crayon,kreh-YOHN,objects
2702,scissors,ciseaux,see-ZOH,objects
1f4c5,calendar,calendrier,kah-lahn-dree-EH,objects
1f512,lock,cadenas,kahd-NAH,objects
1f528,hammer,marteau,mar-TOH,tools
1f52a,knife,couteau,koo-TOH,tools
1f374,fork,fourchette,foor-SHEHT,tools
1f944,spoon,cuillère,kwee-YEHR,tools
1f37d,plate,assiette,ah-see-EHT,tools
1f5fa,map,carte,KART,objects
1f4e6,box,boîte,BWAHT,objects
1f4e8,mail,courrier,koo-ree-EH,objects
1f6c1,bath,bain,BAHN,home
1f9fc,soap,savon,sah-VOHN,objects
1fa99,coin,pièce,pee-EHS,objects
1f570,clock,horloge,ohr-LUHZH,objects
231a,watch,montre,MOHN-truh,objects
1f3f3,flag,drapeau,drah-POH,objects
2694,sword,épée,eh-PEH,tools
1f52b,gun,pistolet,pees-toh-LEH,tools
