emoji,english,translation,phonetic,category
1f4a7,water,água,AH-gwah,nature
1f3e0,house,casa,KAH-zah,home
1f468,man,homem,OH-mehn,people
1f469,woman,mulher,mool-YEHR,people
1f466,boy,menino,meh-NEE-noo,people
270b,hand,mão,mowng,body
1f441,eye,olho,OH-lyoo,body
2600,sun,sol,sohl,weather
1f415,dog,cachorro,kah-SHOH-hoo,animals
1f408,cat,gato,GAH-too,animals
1f4d6,book,livro,LEE-vroo,objects
1f30d,earth,terra,TEH-hah,nature
1f525,fire,fogo,FOH-goo,nature
2764,heart,coração,koh-rah-SOWNG,body
1f338,flower,flor,flohr,nature
1f467,girl,menina,meh-NEE-nah,people
1f319,moon,lua,LOO-ah,weather
2b50,star,estrela,ehs-TREH-lah,weather
1f35e,bread,pão,powng,food
1f95b,milk,leite,LAY-chee,food
