emoji,english,translation,phonetic,category
1f600,face,Gesicht,geh-ZIKHT,emotions
1f60a,happy,glücklich,GLOOK-likh,emotions
1f622,sad,traurig,TROW-rikh,emotions
1f620,angry,wütend,VOO-tehnt,emotions
1f628,afraid,ängstlich,ENGS-tlikh,emotions
1f634,tired,müde,MOO-duh,emotions
1f632,surprised,überrascht,oo-behr-RAHSHT,emotions
1f912,sick,krank,krahnk,emotions
1f602,laugh,lachen,LAHKH-uhn,emotions
1f62d,cry,weinen,VYE-nuhn,emotions
1f60d,love,Liebe,LEE-buh,emotions
1f5e3,speak,sprechen,SHPREHKH-uhn,actions
1f4ad,think,denken,DEHN-kuhn,actions
1f3c3,running,rennen,REHN-uhn,actions
1f3ca,swimming,schwimmen,SHVIM-uhn,actions
1f6b6,walking,gehen,GAY-uhn,actions
1f483,dancing,tanzen,TAHN-tsuhn,actions
270d,writing,schreiben,SHRYE-buhn,actions
1f3a3,fishing,angeln,AHNG-uhln,entertainment
26f7,skiing,Skifahren,SHEE-fah-ruhn,entertainment
1f3c4,surfing,surfen,ZUHR-fuhn,entertainment
1f305,morning,Morgen,MOHR-guhn,time
1f307,evening,Abend,AH-buhnt,time
1f303,night,Nacht,nahkht,time
1f382,birthday,Geburtstag,geh-BOORTS-tahk,entertainment
1f389,party,Party,PAHR-tee,entertainment
1f381,gift,Geschenk,geh-SHENK,entertainment
1f3b5,music,Musik,moo-ZEEK,entertainment
1f3b6,song,Lied,leet,entertainment
1f3b9,piano,Klavier,klah-VEER,entertainment
1f3b8,guitar,Gitarre,gee-TAH-ruh,entertainment
1f941,drum,Trommel,TROHM-muhl,entertainment
1f3ac,movie,Film,film,entertainment
1f3a8,art,Kunst,koonst,entertainment
1f3b2,game,Spiel,shpeel,entertainment
1f514,bell,Glocke,GLOHK-uh,objects
1f3e8,hotel,Hotel,hoh-TEHL,places
1f3d9,city,Stadt,shtaht,places
1f3d4,mountain,Berg,behrk,places
1f3d6,beach,Strand,shtrahnt,places
1f6e3,road,Straße,SHTRAH-suh,places
1f3e6,bank,Bank,bahnk,places
1f3f0,castle,Schloss,shlohs,places
1f3dd,island,Insel,IN-zuhl,places
1f3de,park,Park,pahrk,places
1f695,taxi,Taxi,TAHK-see,transport
1f681,helicopter,Hubschrauber,HOOP-shrow-buhr,transport
1f680,rocket,Rakete,rah-KAY-tuh,transport
1f691,ambulance,Krankenwagen,KRAHNK-uhn-vah-guhn,transport
1f3cd,motorcycle,Motorrad,MOH-tohr-raht,transport
1f6a2,ship,Schiff,shif,transport
1f4fb,radio,Radio,RAH-dee-oh,objects
1f4f0,newspaper,Zeitung,TSYE-toong,objects
1f4dd,note,Notiz,noh-TEETS,objects
1f58a,pen,Kugelschreiber,KOO-guhl-shrye-buhr,objects
270f,pencil,Bleistift,BLYE-shtift,objects
2702,scissors,Schere,SHAY-ruh,objects
1f4c5,calendar,Kalender,kah-LEHN-duhr,objects
1f512,lock,Schloss,shlohs,objects
1f528,hammer,Hammer,HAH-muhr,tools
1f52a,knife,Messer,MEHS-uhr,tools
1f374,fork,Gabel,GAH-buhl,tools
1f944,spoon,Löffel,LUH-fuhl,tools
1f37d,plate,Teller,TEHL-uhr,tools
1f5fa,map,Karte,KAHR-tuh,objects
1f4e6,box,Kiste,KIS-tuh,objects
1f4e8,mail,Post,pohst,objects
1f6c1,bath,Bad,baht,home
1f9fc,soap,Seife,ZYE-fuh,objects
1fa99,coin,Münze,MOON-tsuh,objects
1f570,clock,Uhr,oor,objects
231a,watch,Armbanduhr,AHRM-bahnt-oor,objects
1f3f3,flag,Flagge,FLAHG-uh,objects
2694,sword,Schwert,shvehrt,tools
1f52b,gun,Gewehr,geh-VAYR,tools
