emoji,english,translation,phonetic,category
1f600,face,rosto,RROHSH-too,emotions
1f60a,happy,feliz,fuh-LEESH,emotions
1f622,sad,triste,TREESH-tuh,emotions
1f620,angry,bravo,BRAH-voo,emotions
1f628,afraid,com medo,kohm-MEH-doo,emotions
1f634,tired,cansado,kahn-SAH-doo,emotions
1f632,surprised,surpreso,soor-PREH-zoo,emotions
1f912,sick,doente,doo-EHN-tuh,emotions
1f602,laugh,rir,RREER,emotions
1f62d,cry,chorar,shoo-RAHR,emotions
1f60d,love,amor,uh-MOHR,emotions
1f5e3,speak,falar,fuh-LAHR,actions
1f4ad,think,pensar,pehn-SAHR,actions
1f3c3,running,correndo,koo-RREHN-doo,actions
1f3ca,swimming,nadando,nuh-DAHN-doo,actions
1f6b6,walking,andando,ahn-DAHN-doo,actions
1f483,dancing,dançando,dahn-SAHN-doo,actions
270d,writing,escrevendo,esh-kruh-VEHN-doo,actions
1f3a3,fishing,pescando,pesh-KAHN-doo,entertainment
26f7,skiing,esquiando,esh-kee-AHN-doo,entertainment
1f3c4,surfing,surfando,soor-FAHN-doo,entertainment
1f305,morning,manhã,muh-NYAHW,time
1f307,evening,tarde,TAHR-duh,time
1f303,night,noite,NOY-tuh,time
1f382,birthday,aniversário,uh-nee-vehr-SAH-ree-oo,entertainment
1f389,party,festa,FEHSH-tuh,entertainment
1f381,gift,presente,pruh-ZEHN-tuh,entertainment
1f3b5,music,música,MOO-zee-kuh,entertainment
1f3b6,song,canção,kahn-SAHW,entertainment
1f3b9,piano,piano,pee-AH-noo,entertainment
1f3b8,guitar,violão,vee-oo-LAHW,entertainment
1f941,drum,tambor,tahm-BOHR,entertainment
1f3ac,movie,filme,FEEL-muh,entertainment
1f3a8,art,arte,AHR-tuh,entertainment
1f3b2,game,jogo,ZHOH-goo,entertainment
1f514,bell,sino,SEE-noo,objects
1f3e8,hotel,hotel,oh-TEHL,places
1f3d9,city,cidade,see-DAH-duh,places
1f3d4,mountain,montanha,mohn-TAHN-yuh,places
1f3d6,beach,praia,PRAH-yuh,places
1f6e3,road,estrada,esh-TRAH-duh,places
1f3e6,bank,banco,BAHN-koo,places
1f3f0,castle,castelo,kahsh-TEH-loo,places
1f3dd,island,ilha,EE-lyuh,places
1f3de,park,parque,PAHR-kuh,places
1f695,taxi,táxi,TAH-ksee,transport
1f681,helicopter,helicóptero,eh-lee-KOH-ptuh-roo,transport
1f680,rocket,foguete,foo-GEH-tuh,transport
1f691,ambulance,ambulância,ahm-boo-LAHN-see-uh,transport
1f3cd,motorcycle,moto,MOH-too,transport
1f6a2,ship,navio,nuh-VEE-oo,transport
1f4fb,radio,rádio,RRAH-dee-oo,objects
1f4f0,newspaper,jornal,zhoor-NAHL,objects
1f4dd,note,nota,NOH-tuh,objects
1f58a,pen,caneta,kuh-NEH-tuh,objects
270f,pencil,lápis,LAH-peesh,objects
2702,scissors,tesoura,tuh-ZOH-ruh,objects
1f4c5,calendar,calendário,kuh-lehn-DAH-ree-oo,objects
1f512,lock,cadeado,kuh-dee-AH-doo,objects
1f528,hammer,martelo,mahr-TEH-loo,tools
1f52a,knife,faca,FAH-kuh,tools
1f374,fork,garfo,GAHR-foo,tools
1f944,spoon,colher,koo-LYEHR,tools
1f37d,plate,prato,PRAH-too,tools
1f5fa,map,mapa,MAH-puh,objects
1f4e6,box,caixa,KAY-shuh,objects
1f4e8,mail,correio,koo-RRAY-oo,objects
1f6c1,bath,banho,BAHN-yoo,home
1f9fc,soap,sabão,suh-BAHW,objects
1fa99,coin,moeda,moo-EH-duh,objects
1f570,clock,relógio,rruh-LOH-zhee-oo,objects
231a,watch,relógio,rruh-LOH-zhee-oo,objects
1f3f3,flag,bandeira,bahn-DAY-ruh,objects
2694,sword,espada,esh-PAH-duh,tools
1f52b,gun,arma,AHR-muh,tools
