emoji,english,translation,phonetic,category
1f600,face,mukha,MOOK-hah,emotions
1f60a,happy,masaya,mah-SAH-yah,emotions
1f622,sad,malungkot,mah-loong-KOHT,emotions
1f620,angry,galit,gah-LEET,emotions
1f628,afraid,takot,tah-KOHT,emotions
1f634,tired,pagod,pah-GOHD,emotions
1f632,surprised,nagulat,nah-GOO-laht,emotions
1f912,sick,may sakit,may sah-KEET,emotions
1f602,laugh,tawa,TAH-wah,emotions
1f62d,cry,iyak,ee-YAHK,emotions
1f60d,love,pag-ibig,pahg-ee-BEEG,emotions
1f5e3,speak,magsalita,mahg-sah-lee-TAH,actions
1f4ad,think,mag-isip,mahg-ee-SEEP,actions
1f3c3,running,tumakbo,too-mahk-BOH,actions
1f3ca,swimming,lumangoy,loo-mah-NGOY,actions
1f6b6,walking,maglakad,mahg-lah-KAHD,actions
1f483,dancing,sumayaw,soo-mah-YAHW,actions
270d,writing,sumulat,soo-moo-LAHT,actions
1f3a3,fishing,mangisda,mah-ngees-DAH,entertainment
26f7,skiing,mag-ski,mahg-SKEE,entertainment
1f3c4,surfing,mag-surf,mahg-SERF,entertainment
1f305,morning,umaga,oo-MAH-gah,time
1f307,evening,hapon,HAH-pohn,time
1f303,night,gabi,GAH-bee,time
1f382,birthday,kaarawan,kah-ah-RAH-wahn,entertainment
1f389,party,piyesta,pee-YEHS-tah,entertainment
1f381,gift,regalo,reh-GAH-loh,entertainment
1f3b5,music,musika,moo-SEE-kah,entertainment
1f3b6,song,kanta,KAHN-tah,entertainment
1f3b9,piano,piano,pee-AH-noh,entertainment
1f3b8,guitar,gitara,gee-TAH-rah,entertainment
1f941,drum,tambol,tahm-BOHL,entertainment
1f3ac,movie,pelikula,peh-lee-KOO-lah,entertainment
1f3a8,art,sining,see-NEENG,entertainment
1f3b2,game,laro,LAH-roh,entertainment
1f514,bell,kampana,kahm-PAH-nah,objects
1f3e8,hotel,hotel,oh-TEHL,places
1f3d9,city,lungsod,loong-SOHD,places
1f3d4,mountain,bundok,boon-DOHK,places
1f3d6,beach,dalampasigan,dah-lahm-pah-SEE-gahn,places
1f6e3,road,daan,dah-AHN,places
1f3e6,bank,bangko,BAHNG-koh,places
1f3f0,castle,kastilyo,kahs-TEEL-yoh,places
1f3dd,island,pulo,poo-LOH,places
1f3de,park,parke,PAHR-keh,places
1f695,taxi,taksi,TAHK-see,transport
1f681,helicopter,helikopter,heh-lee-KOHP-tehr,transport
1f680,rocket,rocket,ROH-keht,transport
1f691,ambulance,ambulansya,ahm-boo-LAHN-syah,transport
1f3cd,motorcycle,motorsiklo,moh-tohr-SEEK-loh,transport
1f6a2,ship,barko,BAHR-koh,transport
1f4fb,radio,radyo,RAHD-yoh,objects
1f4f0,newspaper,dyaryo,DYAHR-yoh,objects
1f4dd,note,tala,TAH-lah,objects
1f58a,pen,bolpen,BOHL-pehn,objects
270f,pencil,lapis,LAH-pees,objects
2702,scissors,gunting,goon-TEENG,objects
1f4c5,calendar,kalendaryo,kah-lehn-DAHR-yoh,objects
1f512,lock,kandado,kahn-DAH-doh,objects
1f528,hammer,martilyo,mahr-TEEL-yoh,tools
1f52a,knife,kutsilyo,koot-SEEL-yoh,tools
1f374,fork,tinidor,tee-nee-DOHR,tools
1f944,spoon,kutsara,koot-CHAH-rah,tools
1f37d,plate,plato,PLAH-toh,tools
1f5fa,map,mapa,MAH-pah,objects
1f4e6,box,kahon,kah-HOHN,objects
1f4e8,mail,koreo,koh-REH-oh,objects
1f6c1,bath,paliligo,pah-lee-LEE-goh,home
1f9fc,soap,sabon,sah-BOHN,objects
1fa99,coin,barya,BAHR-yah,objects
1f570,clock,orasan,oh-RAH-sahn,objects
231a,watch,relo,reh-LOH,objects
1f3f3,flag,bandila,bahn-DEE-lah,objects
2694,sword,espada,ehs-PAH-dah,tools
1f52b,gun,baril,bah-REEL,tools
